EventID,Start Date,End Date,Peak Flood Level (m),Peak FL Date,Num Peak FL,Peak Discharge Q (cumec),Peak Discharge Date,Flood Volume (cumec),Event Duration (days),Time to Peak (days),Recession Time (day),Flood Type
INDOFLOODS-gauge-1059-81,06-08-2020,06-08-2020,85.7,06-08-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-82,07-09-2020,07-09-2020,85.81,07-09-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-83,09-09-2020,09-09-2020,85.86,09-09-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-84,23-09-2020,23-09-2020,85.7,23-09-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1074-1,19-08-2017,30-08-2017,23.5,23-08-2017,1,,,,12,5,8,Severe Flood
INDOFLOODS-gauge-1076-1,26-10-2010,26-10-2010,17.83,26-10-2010,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1076-2,05-07-2012,05-07-2012,41.2,05-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1076-3,14-07-2012,15-07-2012,39.2,15-07-2012,1,,,,2,2,1,Severe Flood
INDOFLOODS-gauge-1076-4,18-07-2012,18-07-2012,38.6,18-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1076-5,08-09-2012,09-09-2012,57.2,09-09-2012,1,,,,2,2,1,Severe Flood
INDOFLOODS-gauge-1076-6,12-09-2012,12-09-2012,40.4,12-09-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1076-7,15-09-2012,15-09-2012,47.4,15-09-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1076-8,29-09-2012,30-09-2012,25.8,30-09-2012,1,,,,2,2,1,Severe Flood
INDOFLOODS-gauge-1076-9,03-10-2012,03-10-2012,23.8,03-10-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1076-10,09-10-2012,10-10-2012,54.4,09-10-2012,1,,,,2,1,2,Severe Flood
INDOFLOODS-gauge-1084-1,02-08-2010,02-08-2010,9.92,02-08-2010,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1084-2,26-10-2010,26-10-2010,8.14,26-10-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1085-1,21-06-2012,22-06-2012,42.2,21-06-2012,1,,,,2,1,2,Severe Flood
INDOFLOODS-gauge-1085-2,03-07-2012,03-07-2012,13.8,03-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-3,06-07-2012,06-07-2012,17.6,06-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-4,10-07-2012,10-07-2012,14.8,10-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-5,12-07-2012,12-07-2012,13.2,12-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-6,19-07-2012,20-07-2012,48.2,20-07-2012,1,,,,2,2,1,Severe Flood
INDOFLOODS-gauge-1085-7,22-07-2012,22-07-2012,15.8,22-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-8,27-07-2012,27-07-2012,15.8,27-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-9,29-07-2012,30-07-2012,33.4,29-07-2012,1,,,,2,1,2,Severe Flood
INDOFLOODS-gauge-1085-10,08-08-2012,08-08-2012,48.2,08-08-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-11,13-08-2012,13-08-2012,13.6,13-08-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-12,17-08-2012,17-08-2012,26.6,17-08-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-13,22-08-2012,22-08-2012,17,22-08-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-14,29-08-2012,29-08-2012,21.2,29-08-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-15,03-09-2012,05-09-2012,36.4,04-09-2012,1,,,,3,2,2,Severe Flood
INDOFLOODS-gauge-1085-16,13-09-2012,13-09-2012,29.4,13-09-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-17,18-09-2012,18-09-2012,15.8,18-09-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-18,08-10-2012,08-10-2012,13,08-10-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1085-19,16-10-2013,17-10-2013,12.97,16-10-2013,1,,,,2,1,2,Severe Flood
INDOFLOODS-gauge-1085-20,04-08-2015,05-08-2015,12.44,04-08-2015,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1085-21,24-08-2016,24-08-2016,12.3,24-08-2016,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1085-22,27-07-2017,29-07-2017,14.5,28-07-2017,1,,,,3,2,2,Severe Flood
INDOFLOODS-gauge-1086-1,27-06-2010,27-06-2010,116.4,27-06-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1086-2,15-07-2010,15-07-2010,116.5,15-07-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1086-3,17-07-2010,17-07-2010,116.5,17-07-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1086-4,20-07-2010,21-07-2010,117.05,20-07-2010,1,,,,2,1,2,Severe Flood
INDOFLOODS-gauge-1086-5,30-07-2010,30-07-2010,116.4,30-07-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1086-6,10-09-2010,10-09-2010,116.35,10-09-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1086-7,25-09-2011,25-09-2011,116.35,25-09-2011,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1086-8,16-06-2012,17-06-2012,150.2,16-06-2012,1,,,,2,1,2,Severe Flood
INDOFLOODS-gauge-1086-9,21-06-2012,21-06-2012,120,21-06-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1086-10,26-06-2012,27-06-2012,195,27-06-2012,1,,,,2,2,1,Severe Flood
INDOFLOODS-gauge-1086-11,14-07-2012,15-07-2012,154.2,15-07-2012,1,,,,2,2,1,Severe Flood
INDOFLOODS-gauge-1086-12,19-07-2012,19-07-2012,235.8,19-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1086-13,23-07-2012,23-07-2012,175,23-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1086-14,31-08-2012,31-08-2012,152.6,31-08-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1086-15,01-07-2015,01-07-2015,116.9,01-07-2015,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1086-16,22-07-2016,22-07-2016,117.2,22-07-2016,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1086-17,24-07-2016,24-07-2016,116.5,24-07-2016,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1086-18,27-07-2016,27-07-2016,117,27-07-2016,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1086-19,12-08-2017,12-08-2017,116.4,12-08-2017,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1095-1,26-10-2010,26-10-2010,40.4,26-10-2010,1,,,,1,1,1,Severe Flood
